collectioncode,catalognumber,scientificname,commonname,datelastmodified,detectedby,receiver_group,station,receiver,bottom_depth,receiver_depth,tagname,codespace,sensorname,sensorraw,sensortype,sensorvalue,sensorunit,datecollected,timezone,longitude,latitude,the_geom,yearcollected,monthcollected,daycollected,julianday,timeofday,local_area,notes,citation,unqdetecid,contact_poc,contact_pi
NSBS,NSBS-1248824,Prionace glauca,blue shark,2017-02-21,NSBS,NSBS,"Eastern Passage, Nova Scotia",release,,,A69-9002-11259,,,,,,,2016-09-19 00:00:00,UTC,-63.21124,44.20622,0101000020E6100000B3CD8DE9099B4FC0FCE3BD6A651A4640,2016,9,19,263,0,"Eastern Passage, Nova Scotia",tag # one higher on VR100,"Whoriskey, F., Davis, B. 2013. Ocean Tracking Network Nova Scotia Blue Shark Tracking",NSBS-1248824-release-A69-9002-11259,Brendal Davis (brendal.a.davis@gmail.com),Fred Whoriskey (fwhoriskey@dal.ca)
NSBS,NSBS-1248824,Prionace glauca,blue shark,2017-02-21,NSBS,NSBS,"Eastern Passage, Nova Scotia",release,,,A69-9002-11260,,,,,,,2016-09-19 00:00:00,UTC,-63.21124,44.20622,0101000020E6100000B3CD8DE9099B4FC0FCE3BD6A651A4640,2016,9,19,263,0,"Eastern Passage, Nova Scotia",tag # one higher on VR100,"Whoriskey, F., Davis, B. 2013. Ocean Tracking Network Nova Scotia Blue Shark Tracking",NSBS-1248824-release-A69-9002-11260,Brendal Davis (brendal.a.davis@gmail.com),Fred Whoriskey (fwhoriskey@dal.ca)
NSBS,NSBS-1248825-2017-08-22,Prionace glauca,blue shark,2019-10-22,NSBS,NSBS,"Eastern Passage, Nova Scotia",release,,,A69-9002-11262,,,,,,,2017-08-22 14:17:00,UTC,-63.21664,44.19614,0101000020E6100000B28009DCBA9B4FC0FEB7921D1B194640,2017,8,22,234,14.283333333333333,"Eastern Passage, Nova Scotia",,"Whoriskey, F., Davis, B. 2013. Ocean Tracking Network Nova Scotia Blue Shark Tracking",NSBS-1248825-2017-08-22-release-A69-9002-11262,Brendal Davis (brendal.a.davis@gmail.com),Fred Whoriskey (fwhoriskey@dal.ca)
NSBS,NSBS-1248825-2017-08-22,Prionace glauca,blue shark,2019-10-22,NSBS,NSBS,"Eastern Passage, Nova Scotia",release,,,A69-9002-11261,,,,,,,2017-08-22 14:17:00,UTC,-63.21664,44.19614,0101000020E6100000B28009DCBA9B4FC0FEB7921D1B194640,2017,8,22,234,14.283333333333333,"Eastern Passage, Nova Scotia",,"Whoriskey, F., Davis, B. 2013. Ocean Tracking Network Nova Scotia Blue Shark Tracking",NSBS-1248825-2017-08-22-release-A69-9002-11261,Brendal Davis (brendal.a.davis@gmail.com),Fred Whoriskey (fwhoriskey@dal.ca)
NSBS,NSBS-1248826-2017-08-25,Prionace glauca,blue shark,2019-10-22,NSBS,NSBS,"Eastern Passage, Nova Scotia",release,,,A69-9002-11264,,,,,,,2017-08-25 15:16:00,UTC,-63.05276,44.26990,0101000020E6100000BB44F5D6C0864FC05F984C158C224640,2017,8,25,237,15.266666666666667,"Eastern Passage, Nova Scotia","Large puncture ventral side (fresh, mating)","Whoriskey, F., Davis, B. 2013. Ocean Tracking Network Nova Scotia Blue Shark Tracking",NSBS-1248826-2017-08-25-release-A69-9002-11264,Brendal Davis (brendal.a.davis@gmail.com),Fred Whoriskey (fwhoriskey@dal.ca)
NSBS,NSBS-1248826-2017-08-25,Prionace glauca,blue shark,2019-10-22,NSBS,NSBS,"Eastern Passage, Nova Scotia",release,,,A69-9002-11263,,,,,,,2017-08-25 15:16:00,UTC,-63.05276,44.26990,0101000020E6100000BB44F5D6C0864FC05F984C158C224640,2017,8,25,237,15.266666666666667,"Eastern Passage, Nova Scotia","Large puncture ventral side (fresh, mating)","Whoriskey, F., Davis, B. 2013. Ocean Tracking Network Nova Scotia Blue Shark Tracking",NSBS-1248826-2017-08-25-release-A69-9002-11263,Brendal Davis (brendal.a.davis@gmail.com),Fred Whoriskey (fwhoriskey@dal.ca)
NSBS,NSBS-1248827-2017-08-22,Prionace glauca,blue shark,2019-10-22,NSBS,NSBS,"Eastern Passage, Nova Scotia",release,,,A69-9002-11266,,,,,,,2017-08-22 15:20:00,UTC,-63.21664,44.19614,0101000020E6100000B28009DCBA9B4FC0FEB7921D1B194640,2017,8,22,234,15.333333333333334,"Eastern Passage, Nova Scotia",notched out of caudal fin,"Whoriskey, F., Davis, B. 2013. Ocean Tracking Network Nova Scotia Blue Shark Tracking",NSBS-1248827-2017-08-22-release-A69-9002-11266,Brendal Davis (brendal.a.davis@gmail.com),Fred Whoriskey (fwhoriskey@dal.ca)
NSBS,NSBS-1248827-2017-08-22,Prionace glauca,blue shark,2019-10-22,NSBS,NSBS,"Eastern Passage, Nova Scotia",release,,,A69-9002-11265,,,,,,,2017-08-22 15:20:00,UTC,-63.21664,44.19614,0101000020E6100000B28009DCBA9B4FC0FEB7921D1B194640,2017,8,22,234,15.333333333333334,"Eastern Passage, Nova Scotia",notched out of caudal fin,"Whoriskey, F., Davis, B. 2013. Ocean Tracking Network Nova Scotia Blue Shark Tracking",NSBS-1248827-2017-08-22-release-A69-9002-11265,Brendal Davis (brendal.a.davis@gmail.com),Fred Whoriskey (fwhoriskey@dal.ca)
NSBS,NSBS-1248828-2017-08-27,Prionace glauca,blue shark,2019-10-22,NSBS,NSBS,"Eastern Passage, Nova Scotia",release,,,A69-9002-11268,,,,,,,2017-08-27 13:38:00,UTC,-63.21415,44.19152,0101000020E61000001D386744699B4FC0D44334BA83184640,2017,8,27,239,13.633333333333333,"Eastern Passage, Nova Scotia",Bite marks on upper caudal and right pectoral. Hook left in.,"Whoriskey, F., Davis, B. 2013. Ocean Tracking Network Nova Scotia Blue Shark Tracking",NSBS-1248828-2017-08-27-release-A69-9002-11268,Brendal Davis (brendal.a.davis@gmail.com),Fred Whoriskey (fwhoriskey@dal.ca)
NSBS,NSBS-1248828-2017-08-27,Prionace glauca,blue shark,2019-10-22,NSBS,NSBS,"Eastern Passage, Nova Scotia",release,,,A69-9002-11267,,,,,,,2017-08-27 13:38:00,UTC,-63.21415,44.19152,0101000020E61000001D386744699B4FC0D44334BA83184640,2017,8,27,239,13.633333333333333,"Eastern Passage, Nova Scotia",Bite marks on upper caudal and right pectoral. Hook left in.,"Whoriskey, F., Davis, B. 2013. Ocean Tracking Network Nova Scotia Blue Shark Tracking",NSBS-1248828-2017-08-27-release-A69-9002-11267,Brendal Davis (brendal.a.davis@gmail.com),Fred Whoriskey (fwhoriskey@dal.ca)
